,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,378,261,266,350,350
Expenses +,343,235,235,316,319
Operating Profit,35,25,30,34,32
OPM %,9%,10%,11%,10%,9%
Other Income +,2,2,2,15,7
Interest,6,5,5,6,7
Depreciation,6,8,8,10,10
Profit before tax,25,15,20,33,22
Tax %,30%,31%,31%,23%,
Net Profit,18,10,14,25,16
EPS in Rs,59.04,33.67,44.85,83.75,52.70
