,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,27,28,8
Reserves,103,125,128,132
Borrowings +,90,133,141,185
Other Liabilities +,61,121,125,118
Total Liabilities,262,387,402,443
Fixed Assets +,151,187,173,211
CWIP,14,20,52,8
Investments,0,0,0,0
Other Assets +,97,180,178,224
Total Assets,262,387,402,443
