,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,100,36,20,16,10,2,0,0
Expenses +,112,64,67,104,96,25,4,2
Operating Profit,-12,-29,-47,-88,-86,-23,-4,-2
OPM %,-12%,-81%,-239%,-538%,-871%,"-1,168%",-951%,
Other Income +,75,20,17,-14,142,1,-6,0
Interest,57,70,66,65,56,42,2,2
Depreciation,32,29,28,29,21,19,13,12
Profit before tax,-25,-108,-124,-196,-21,-82,-25,-16
Tax %,0%,-1%,0%,-1%,-216%,-1%,9%,
Net Profit,-25,-109,-124,-197,-67,-83,-22,-14
EPS in Rs,-8.29,-35.78,-40.82,-64.73,-22.09,-27.29,-7.40,-4.44
