,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16,25,25,25,25,25
Reserves,384,414,434,488,516,547,589,653,732,792,909,"1,043","1,055"
Borrowings +,536,533,584,546,547,505,598,635,661,646,610,675,776
Other Liabilities +,128,169,157,219,212,206,177,237,268,306,370,470,463
Total Liabilities,"1,065","1,132","1,191","1,270","1,292","1,275","1,379","1,542","1,686","1,768","1,913","2,213","2,319"
Fixed Assets +,635,639,660,644,639,623,668,634,713,735,713,879,951
CWIP,51,76,49,61,62,66,63,118,79,161,254,295,306
Investments,3,3,3,3,3,3,4,3,1,1,1,11,1
Other Assets +,375,414,479,562,588,583,645,788,893,871,946,"1,028","1,061"
Total Assets,"1,065","1,132","1,191","1,270","1,292","1,275","1,379","1,542","1,686","1,768","1,913","2,213","2,319"
