,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Sep 2018
Share Capital +,4,10,10,10,11,11,12,12,12,12,12,12
Reserves,42,79,89,126,202,234,348,-200,-387,-406,-409,-475
Borrowings +,41,196,204,248,398,387,366,426,345,345,345,347
Other Liabilities +,38,41,94,126,149,114,275,89,100,105,95,154
Total Liabilities,126,327,396,509,759,745,"1,001",328,70,56,43,38
Fixed Assets +,24,107,104,131,154,141,101,63,16,15,14,12
CWIP,2,1,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,100,219,293,378,604,605,900,265,54,41,29,27
Total Assets,126,327,396,509,759,745,"1,001",328,70,56,43,38
