,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,10,20,20,20,20,99,94,94,94,94,188,188
Reserves,"1,369","1,725","2,462","2,996","3,285","3,619","3,718","3,667","3,870","4,077","4,309","4,478","4,746"
Borrowings +,-0,-0,-0,-0,239,-0,-0,"3,200","3,077",-0,331,"1,399","1,430"
Other Liabilities +,"3,597","3,571","3,757","3,197","3,893","4,500","5,415","5,810","6,278","6,009","6,520","8,382","8,783"
Total Liabilities,"4,976","5,306","6,239","6,213","7,437","8,139","9,231","12,771","13,318","10,181","11,254","14,446","15,147"
Fixed Assets +,242,193,178,216,736,506,524,568,"1,890","1,982","1,922","1,845","1,853"
CWIP,29,59,70,48,30,75,549,964,55,30,13,36,6
Investments,180,203,245,434,496,487,781,784,809,803,850,971,"1,101"
Other Assets +,"4,525","4,850","5,746","5,515","6,174","7,070","7,378","10,455","10,565","7,366","8,468","11,594","12,187"
Total Assets,"4,976","5,306","6,239","6,213","7,437","8,139","9,231","12,771","13,318","10,181","11,254","14,446","15,147"
