,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,994","1,658","1,499","2,080","2,336"
Expenses +,"1,820","1,517","1,363","1,930","2,167"
Operating Profit,174,141,136,150,170
OPM %,9%,9%,9%,7%,7%
Other Income +,3,2,5,1,2
Interest,34,38,33,33,34
Depreciation,61,63,66,75,79
Profit before tax,82,42,42,43,58
Tax %,36%,33%,37%,35%,
Net Profit,52,28,26,28,38
EPS in Rs,12.02,6.52,6.06,6.50,8.83
