,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,152,152,152,152,152,261,261,261,261
Reserves,456,436,397,450,350,-39,72,339,379
Borrowings +,713,658,517,321,307,471,395,354,374
Other Liabilities +,866,823,820,"1,006",799,790,983,"1,152","1,249"
Total Liabilities,"2,187","2,069","1,886","1,929","1,608","1,483","1,711","2,105","2,263"
Fixed Assets +,"1,176","1,270","1,134",935,898,703,691,702,710
CWIP,206,3,6,16,11,7,9,35,129
Investments,10,4,16,1,1,0,0,0,0
Other Assets +,795,791,730,977,698,773,"1,012","1,368","1,423"
Total Assets,"2,187","2,069","1,886","1,929","1,608","1,483","1,711","2,105","2,263"
