,Mar 2013
Share Capital +,24.60
Reserves,17.61
Borrowings +,29.43
Other Liabilities +,28.50
Total Liabilities,100.14
Fixed Assets +,32.42
CWIP,16.84
Investments,0.02
Other Assets +,50.86
Total Assets,100.14
