,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,7,7,7,7,12,12,12,13,23,23,13,13
Reserves,23,46,53,64,74,89,113,131,164,189,209,235,248
Borrowings +,134,215,232,232,246,294,330,421,496,474,600,554,498
Other Liabilities +,192,185,196,247,248,296,517,560,568,466,311,379,520
Total Liabilities,354,453,489,549,574,691,971,"1,123","1,241","1,142","1,133","1,181","1,280"
Fixed Assets +,9,21,40,41,37,34,43,44,54,50,47,49,47
CWIP,-0,1,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
Investments,0,0,0,0,0,3,3,3,3,1,1,1,1
Other Assets +,345,431,448,508,537,654,925,"1,076","1,184","1,091","1,085","1,131","1,232"
Total Assets,354,453,489,549,574,691,971,"1,123","1,241","1,142","1,133","1,181","1,280"
