,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,48,48,48,68
Reserves,73,96,134,215
Borrowings +,187,371,529,641
Other Liabilities +,61,112,156,199
Total Liabilities,370,628,867,"1,123"
Fixed Assets +,45,249,258,357
CWIP,19,49,37,67
Investments,0,0,0,0
Other Assets +,306,330,572,700
Total Assets,370,628,867,"1,123"
