,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,27,31,31,31
Reserves,198,446,489,530
Borrowings +,29,17,96,134
Other Liabilities +,92,93,112,158
Total Liabilities,346,586,728,853
Fixed Assets +,155,167,196,247
CWIP,12,11,44,38
Investments,0,0,62,48
Other Assets +,179,409,425,521
Total Assets,346,586,728,853
