,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011
Sales +,248,313,269,307,478,516
Expenses +,223,295,277,446,455,427
Operating Profit,25,18,-8,-139,23,89
OPM %,10%,6%,-3%,-45%,5%,17%
Other Income +,4,21,185,53,14,14
Interest,3,8,15,29,32,32
Depreciation,6,7,19,28,32,34
Profit before tax,20,24,143,-143,-27,37
Tax %,19%,19%,31%,-2%,-21%,56%
Net Profit,16,20,99,-146,-33,16
EPS in Rs,,1.26,6.29,-9.23,-2.11,1.01
