,Mar 2021,Mar 2022
Sales +,622,904
Expenses +,506,723
Operating Profit,116,182
OPM %,19%,20%
Other Income +,20,24
Interest,14,16
Depreciation,34,37
Profit before tax,88,152
Tax %,25%,25%
Net Profit,66,114
EPS in Rs,31.98,54.96
