,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,41,56
Reserves,-7,-11,121
Borrowings +,7,203,85
Other Liabilities +,5,146,93
Total Liabilities,12,380,354
Fixed Assets +,4,255,256
CWIP,2,0,0
Investments,0,0,0
Other Assets +,6,125,98
Total Assets,12,380,354
