,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,26,26,26,26,26,26,26,27,27,28,28,28
Reserves,205,210,212,215,187,188,156,227,365,419,505,666,704
Borrowings +,114,97,85,68,62,58,112,82,77,73,88,97,185
Other Liabilities +,108,94,90,98,97,91,113,141,151,186,168,259,303
Total Liabilities,454,428,413,407,372,363,407,476,620,705,789,"1,050","1,220"
Fixed Assets +,233,222,229,226,183,180,199,243,356,378,456,554,623
CWIP,27,30,8,7,15,15,29,23,20,39,19,63,36
Investments,7,7,7,8,8,8,10,13,29,8,12,29,30
Other Assets +,186,168,169,166,166,160,170,197,215,281,302,405,532
Total Assets,454,428,413,407,372,363,407,476,620,705,789,"1,050","1,220"
