,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,106,106,106,106,107,107,107,184,184,184,184,184,184
Reserves,-69,-200,-262,-419,-420,274,299,"6,562","5,298","3,657","2,495",744,750
Borrowings +,"1,076","1,400","1,633","1,410","1,484","1,231","1,137","3,154","2,758","1,784",812,378,218
Other Liabilities +,"1,610","1,328","1,677","1,673","1,996","2,327","2,627","5,272","6,106","5,983","5,794","5,363","5,230"
Total Liabilities,"2,723","2,634","3,155","2,770","3,166","3,939","4,170","15,172","14,346","11,609","9,285","6,668","6,382"
Fixed Assets +,"1,444","1,420","1,434","1,357","1,454","1,810","2,042","12,185","10,235","7,681","6,006","3,018","3,277"
CWIP,442,388,654,423,497,610,580,678,767,"1,148",947,962,454
Investments,200,150,278,200,200,232,165,150,0,0,0,0,0
Other Assets +,637,675,789,790,"1,015","1,287","1,383","2,159","3,344","2,780","2,331","2,689","2,651"
Total Assets,"2,723","2,634","3,155","2,770","3,166","3,939","4,170","15,172","14,346","11,609","9,285","6,668","6,382"
