,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,9,5,8,44,68,68,68,68,68,68
Reserves,3,13,51,163,256,680,775,858,861,905,961
Borrowings +,11,86,114,177,197,239,274,320,291,335,403
Other Liabilities +,37,221,367,529,617,747,934,"1,119","1,025","1,083","1,138"
Total Liabilities,54,324,538,876,"1,109","1,734","2,051","2,364","2,246","2,391","2,570"
Fixed Assets +,6,88,169,233,326,410,541,659,664,694,666
CWIP,0,0,0,8,7,0,4,5,6,14,18
Investments,0,5,5,0,0,1,1,1,2,1,0
Other Assets +,48,231,364,635,776,"1,323","1,506","1,699","1,574","1,683","1,885"
Total Assets,54,324,538,876,"1,109","1,734","2,051","2,364","2,246","2,391","2,570"
