,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,5,5,5,5,5,5,5,6,6,6,6,6
Reserves,9,17,17,17,19,24,30,35,45,46,56,67,78
Borrowings +,11,10,8,6,7,8,5,2,3,5,4,6,6
Other Liabilities +,9,5,4,6,8,7,10,8,8,11,11,12,15
Total Liabilities,33,37,34,34,39,45,50,52,62,68,76,90,106
Fixed Assets +,24,23,21,20,18,19,21,20,22,23,22,25,26
CWIP,0,0,0,0,0,1,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,4,12,14
Other Assets +,9,14,13,15,21,25,29,31,40,45,51,54,66
Total Assets,33,37,34,34,39,45,50,52,62,68,76,90,106
