,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,543,719,650,974,"1,011"
Expenses +,391,519,485,666,682
Operating Profit,151,201,165,308,329
OPM %,28%,28%,25%,32%,33%
Other Income +,8,10,10,19,25
Interest,42,48,46,56,55
Depreciation,60,69,73,83,88
Profit before tax,58,93,56,187,211
Tax %,22%,41%,29%,26%,
Net Profit,45,55,40,139,158
EPS in Rs,10.14,12.68,9.10,14.70,15.86
