,Mar 2006,Mar 2007,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015
Share Capital +,21,21,21,21,21,21,21
Reserves,91,112,157,181,192,182,180
Borrowings +,173,256,265,211,229,290,320
Other Liabilities +,116,125,202,228,183,214,216
Total Liabilities,402,515,646,640,625,707,738
Fixed Assets +,200,259,301,328,335,416,454
CWIP,32,24,1,9,18,21,1
Investments,0,1,0,0,0,0,0
Other Assets +,170,232,344,303,272,270,283
Total Assets,402,515,646,640,625,707,738
