,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,8
Reserves,177,196,251,308,353
Borrowings +,189,118,59,79,75
Other Liabilities +,64,73,89,93,118
Total Liabilities,438,395,407,489,554
Fixed Assets +,233,195,188,179,177
CWIP,13,11,0,0,8
Investments,1,2,1,1,1
Other Assets +,191,188,218,309,368
Total Assets,438,395,407,489,554
