,Mar 2016,Mar 2017,Mar 2018
Share Capital +,10,12,12
Reserves,83,92,106
Borrowings +,34,54,69
Other Liabilities +,122,114,157
Total Liabilities,250,272,344
Fixed Assets +,6,5,9
CWIP,0,0,0
Investments,0,0,-0
Other Assets +,243,267,336
Total Assets,250,272,344
