,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,17,18,18,18,18,18,19,19,19,19,19
Reserves,14,22,43,47,54,63,83,111,148,159,175,194,208
Borrowings +,20,20,5,36,35,42,31,38,40,26,35,46,52
Other Liabilities +,6,9,9,11,14,19,13,35,13,16,45,50,51
Total Liabilities,46,56,73,112,121,142,145,202,220,220,274,309,330
Fixed Assets +,9,10,10,21,22,21,20,23,30,40,44,43,41
CWIP,0,-0,-0,-0,0,3,8,7,0,3,2,3,4
Investments,-0,-0,0,1,0,0,0,0,0,0,0,0,0
Other Assets +,37,47,64,90,99,118,118,171,190,177,227,263,284
Total Assets,46,56,73,112,121,142,145,202,220,220,274,309,330
