,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,30,30,30,30,30,30,30
Reserves,376,277,154,-40,-231,-314,-336
Borrowings +,401,440,375,375,48,181,181
Other Liabilities +,158,170,205,278,443,319,324
Total Liabilities,966,918,764,643,290,217,199
Fixed Assets +,472,443,436,253,178,159,139
CWIP,1,1,1,2,3,4,4
Investments,0,0,0,0,0,0,0
Other Assets +,493,474,327,388,109,54,56
Total Assets,966,918,764,643,290,217,199
