,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,5,8,8,9,9,9,9,13,13,13,13,13
Reserves,68,71,92,116,152,178,537,549,686,697,774,828,870
Borrowings +,234,220,211,190,188,182,192,319,231,264,182,241,209
Other Liabilities +,121,130,114,169,162,155,148,194,200,257,356,302,333
Total Liabilities,428,426,425,483,512,524,886,"1,071","1,130","1,231","1,325","1,383","1,424"
Fixed Assets +,158,151,136,131,123,139,466,475,542,653,716,767,762
CWIP,27,27,36,35,41,40,20,126,104,24,17,20,29
Investments,7,7,7,7,7,7,8,8,8,8,7,4,4
Other Assets +,235,240,246,311,340,337,393,463,476,547,585,592,629
Total Assets,428,426,425,483,512,524,886,"1,071","1,130","1,231","1,325","1,383","1,424"
