,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,146,146,146,146,146,146,146,146,146,146,146,146,146
Reserves,317,317,175,180,182,91,-17,-235,-442,-891,"-1,138","-1,172","-1,312"
Borrowings +,79,125,271,336,418,"1,205","1,048","1,307","1,021","1,017",726,617,617
Other Liabilities +,91,221,534,580,465,503,"1,069","1,094","1,927","2,002","1,922","1,465","1,460"
Total Liabilities,633,809,"1,126","1,242","1,211","1,945","2,245","2,311","2,651","2,273","1,656","1,057",911
Fixed Assets +,4,15,14,13,19,269,254,257,3,1,1,1,1
CWIP,32,39,51,50,58,60,417,416,416,138,88,88,0
Investments,40,59,76,125,112,105,89,43,53,10,0,0,0
Other Assets +,556,696,985,"1,054","1,022","1,511","1,486","1,594","2,179","2,124","1,567",967,910
Total Assets,633,809,"1,126","1,242","1,211","1,945","2,245","2,311","2,651","2,273","1,656","1,057",911
