,Mar 2011,Mar 2012,Sep 2013,Sep 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,59,71,71,71,71,71,71,71,71,71,71,71,71
Reserves,68,48,-28,-139,-188,-218,-237,-255,-370,-418,-439,-453,-464
Borrowings +,507,533,497,539,534,557,558,557,556,557,557,557,557
Other Liabilities +,83,117,176,113,91,82,92,92,77,75,78,82,93
Total Liabilities,717,768,716,584,508,493,483,465,334,284,266,256,256
Fixed Assets +,327,329,309,287,277,258,238,222,207,192,177,162,155
CWIP,30,11,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,32,27,27,27,27,27,26,26,26,26,26
Other Assets +,359,429,375,270,204,208,218,216,101,67,64,68,76
Total Assets,717,768,716,584,508,493,483,465,334,284,266,256,256
