,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,7,7,7,7,7,7,7,7,7
Reserves,128,149,167,178,203,231,259,296,324
Borrowings +,2,0,11,0,0,10,7,4,4
Other Liabilities +,126,177,80,123,132,129,158,206,185
Total Liabilities,263,333,265,309,342,377,431,513,520
Fixed Assets +,35,35,34,33,32,42,38,34,35
CWIP,0,0,0,0,0,0,0,0,0
Investments,0,5,0,4,7,22,49,83,46
Other Assets +,228,293,231,272,303,313,345,396,439
Total Assets,263,333,265,309,342,377,431,513,520
