,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,23,23,23,23,23,23,23,23,23,23,23,23
Reserves,102,131,145,171,194,228,278,331,379,422,491,560,602
Borrowings +,145,133,119,97,68,27,20,7,21,23,22,25,9
Other Liabilities +,121,102,125,133,125,119,133,146,159,174,214,217,222
Total Liabilities,386,388,412,423,410,397,454,507,581,642,750,824,857
Fixed Assets +,229,221,231,225,216,210,212,206,231,241,238,247,241
CWIP,1,3,0,1,0,0,0,0,3,1,4,1,1
Investments,1,3,3,3,2,1,1,3,1,0,0,1,5
Other Assets +,156,160,178,194,192,186,241,297,346,399,508,576,609
Total Assets,386,388,412,423,410,397,454,507,581,642,750,824,857
