,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,11,11,11,11,24,26,11
Reserves,383,398,428,440,410,386,286,322,311,203,224,258,231
Borrowings +,484,492,497,571,497,429,440,468,515,511,377,419,398
Other Liabilities +,142,186,224,221,264,278,322,330,423,455,333,258,294
Total Liabilities,"1,021","1,090","1,163","1,247","1,186","1,107","1,060","1,131","1,260","1,180",945,947,934
Fixed Assets +,325,339,349,383,373,384,317,323,343,448,464,463,459
CWIP,3,7,5,11,19,8,16,22,104,29,17,8,6
Investments,255,268,295,293,280,283,251,296,288,186,134,132,16
Other Assets +,437,476,514,560,513,432,476,490,526,516,330,344,454
Total Assets,"1,021","1,090","1,163","1,247","1,186","1,107","1,060","1,131","1,260","1,180",945,947,934
