,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4.11,10.28,10.85,10.85
Reserves,23.92,19.75,26.66,28.09
Borrowings +,11.44,11.69,18.50,16.36
Other Liabilities +,7.30,4.64,8.04,7.76
Total Liabilities,46.77,46.36,64.05,63.06
Fixed Assets +,4.02,5.09,6.77,9.70
CWIP,0.00,0.00,2.42,1.58
Investments,0.00,0.02,0.05,0.08
Other Assets +,42.75,41.25,54.81,51.70
Total Assets,46.77,46.36,64.05,63.06
