,Mar 2010,Mar 2011
Sales +,"2,141","2,506"
Expenses +,"2,106","2,479"
Operating Profit,35,27
OPM %,2%,1%
Other Income +,19,4
Interest,36,38
Depreciation,15,16
Profit before tax,2,-23
Tax %,694%,18%
Net Profit,-16,-19
EPS in Rs,-10.91,-13.56
