,Mar 2007,Mar 2008,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,21,22,23,23,23,30,30,30,30,34,57,127
Reserves,58,146,240,253,267,333,369,405,421,466,589,861,"1,197"
Borrowings +,63,65,252,228,175,335,327,340,361,332,295,199,211
Other Liabilities +,40,60,134,182,186,259,334,416,469,431,450,412,418
Total Liabilities,175,292,648,685,651,950,"1,060","1,191","1,281","1,259","1,367","1,529","1,953"
Fixed Assets +,58,103,174,178,188,392,413,426,472,463,457,476,564
CWIP,3,11,3,7,15,6,1,11,0,9,24,52,46
Investments,0,14,18,13,11,13,17,23,28,30,46,66,0
Other Assets +,114,164,454,488,438,539,629,731,782,757,839,935,"1,342"
Total Assets,175,292,648,685,651,950,"1,060","1,191","1,281","1,259","1,367","1,529","1,953"
