,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,"1,033","1,217","1,399","1,720","2,065","2,304","2,698","2,990","3,495","3,682","4,225","4,736","5,076"
Borrowings +,21,48,161,121,99,184,140,123,128,127,193,10,467
Other Liabilities +,220,207,266,373,367,278,333,426,391,334,321,361,469
Total Liabilities,"1,293","1,490","1,845","2,233","2,549","2,785","3,190","3,559","4,033","4,162","4,758","5,125","6,031"
Fixed Assets +,282,356,377,389,551,672,670,671,845,890,811,790,985
CWIP,15,18,32,100,46,38,43,97,60,32,161,210,47
Investments,150,140,194,529,637,946,960,"1,092","1,145","1,418",809,"1,055","1,746"
Other Assets +,845,976,"1,242","1,215","1,314","1,128","1,518","1,699","1,984","1,821","2,977","3,070","3,252"
Total Assets,"1,293","1,490","1,845","2,233","2,549","2,785","3,190","3,559","4,033","4,162","4,758","5,125","6,031"
