,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,1,4,7,7,11,11,11,11
Reserves,4,5,16,22,18,18,21,16
Borrowings +,27,25,47,52,41,32,15,15
Other Liabilities +,3,3,10,9,5,9,2,4
Total Liabilities,35,36,80,90,75,71,49,46
Fixed Assets +,6,7,19,38,34,30,26,26
CWIP,-0,0,10,-0,-0,-0,-0,-0
Investments,-0,-0,-0,-0,-0,-0,-0,-0
Other Assets +,29,29,52,52,41,41,23,20
Total Assets,35,36,80,90,75,71,49,46
