,Mar 2018,Mar 2019,Mar 2020
Share Capital +,23,23,23
Reserves,248,250,208
Borrowings +,379,434,419
Other Liabilities +,268,241,193
Total Liabilities,919,949,843
Fixed Assets +,363,389,350
CWIP,0,0,0
Investments,0,0,0
Other Assets +,556,560,492
Total Assets,919,949,843
