,Mar 2020,Mar 2021,Mar 2022
Share Capital +,22,22,22
Reserves,47,75,116
Borrowings +,97,169,170
Other Liabilities +,102,129,105
Total Liabilities,269,395,414
Fixed Assets +,30,42,50
CWIP,1,0,0
Investments,0,0,0
Other Assets +,238,352,363
Total Assets,269,395,414
