,Mar 2020,TTM
Sales +,38,7
Expenses +,75,28
Operating Profit,-37,-21
OPM %,-97%,-309%
Other Income +,-64,-74
Interest,2,0
Depreciation,86,75
Profit before tax,-189,-171
Tax %,-1%,
Net Profit,-190,-172
EPS in Rs,-16.64,-15.06
