,Mar 2010,Sep 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,25,25,25,25,25,25,25,25,25,25,25,25,25
Reserves,55,146,175,179,300,314,370,381,391,382,409,594,600
Borrowings +,171,6,5,3,3,3,4,4,3,3,4,4,4
Other Liabilities +,92,56,49,42,54,51,41,40,34,30,22,63,60
Total Liabilities,343,233,254,249,383,393,439,449,453,440,460,686,689
Fixed Assets +,76,16,15,15,54,60,13,32,29,29,27,216,215
CWIP,7,0,0,0,11,7,19,0,0,0,0,2,7
Investments,42,137,129,125,186,187,291,312,347,343,370,403,408
Other Assets +,218,79,110,108,132,139,116,105,77,68,62,66,59
Total Assets,343,233,254,249,383,393,439,449,453,440,460,686,689
