,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,62.76,57.95,41.57,57.46,60.34
Expenses +,47.12,43.71,29.63,41.26,43.24
Operating Profit,15.64,14.24,11.94,16.20,17.10
OPM %,24.92%,24.57%,28.72%,28.19%,28.34%
Other Income +,0.79,0.97,0.98,1.86,1.65
Interest,1.83,1.85,3.32,3.81,3.13
Depreciation,4.04,3.72,5.50,7.64,8.93
Profit before tax,10.56,9.64,4.10,6.61,6.69
Tax %,29.64%,32.68%,37.07%,29.65%,
Net Profit,7.42,6.49,2.58,4.65,4.78
EPS in Rs,7.87,6.89,2.90,4.72,5.03
