,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,671","1,613","1,775","2,294","2,728"
Expenses +,"1,546","1,525","1,632","2,118","2,499"
Operating Profit,124,88,143,176,229
OPM %,7%,5%,8%,8%,8%
Other Income +,9,24,18,129,31
Interest,29,33,29,20,42
Depreciation,20,46,39,39,68
Profit before tax,85,33,92,245,150
Tax %,36%,30%,41%,17%,
Net Profit,55,23,55,202,100
EPS in Rs,,3.20,7.59,27.90,13.86
