,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,23,23,23,23,23,23,23,23,23,23
Reserves,75,81,130,156,170,217,564,751,776,433,569,631,649
Borrowings +,154,140,126,142,157,126,158,280,299,306,69,19,19
Other Liabilities +,137,176,143,172,175,209,250,652,536,226,217,229,262
Total Liabilities,378,410,411,492,526,575,996,"1,707","1,635",988,879,903,953
Fixed Assets +,222,230,237,271,281,312,296,433,476,481,580,579,576
CWIP,10,9,8,11,9,10,8,9,42,77,18,8,18
Investments,0,0,1,1,1,1,478,"1,002",835,152,13,18,94
Other Assets +,147,170,165,209,235,252,214,263,282,278,267,298,265
Total Assets,378,410,411,492,526,575,996,"1,707","1,635",988,879,903,953
