,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,55,55,55,105,102
Reserves,317,350,391,498,845
Borrowings +,465,490,518,581,558
Other Liabilities +,100,134,127,123,132
Total Liabilities,926,"1,019","1,081","1,296","1,636"
Fixed Assets +,702,702,772,858,879
CWIP,23,43,29,6,29
Investments,3,10,18,22,0
Other Assets +,199,265,262,409,729
Total Assets,926,"1,019","1,081","1,296","1,636"
