,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,49,49,49,40,40,40,40,40,40,40,41,41,41
Reserves,226,284,292,185,183,189,202,239,239,219,125,168,166
Borrowings +,0,0,0,0,0,0,0,0,0,28,2,0,0
Other Liabilities +,55,43,54,43,37,31,45,45,52,54,56,101,111
Total Liabilities,330,375,395,268,260,260,286,324,330,341,224,311,318
Fixed Assets +,106,98,95,32,32,29,33,28,28,29,20,19,18
CWIP,1,3,3,1,2,3,3,3,2,1,1,1,0
Investments,118,113,111,111,111,111,127,138,132,132,24,23,23
Other Assets +,104,162,186,123,115,116,124,155,168,180,179,269,276
Total Assets,330,375,395,268,260,260,286,324,330,341,224,311,318
