,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,21,21,21,21,25,25,25,25,111,120,32
Reserves,103,102,103,105,100,70,42,-45,-116,-186,45,54,58
Borrowings +,61,93,119,184,250,333,398,482,509,505,228,188,259
Other Liabilities +,58,46,111,130,186,192,211,150,154,135,162,216,172
Total Liabilities,243,263,354,440,557,615,675,611,572,479,466,490,520
Fixed Assets +,60,61,102,103,101,265,243,274,241,210,190,165,150
CWIP,4,12,59,143,207,58,83,37,40,44,34,38,45
Investments,1,1,2,2,4,5,5,4,3,2,2,2,2
Other Assets +,178,188,190,192,245,287,345,295,287,223,240,285,323
Total Assets,243,263,354,440,557,615,675,611,572,479,466,490,520
