,Sep 2009,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Share Capital +,148,163,193,193,193,189,169,169,169,169,169,169
Reserves,441,475,579,607,603,649,658,375,80,-724,-816,-950
Borrowings +,196,351,735,752,877,976,"1,219","1,383","1,414","1,475","1,483","1,404"
Other Liabilities +,531,"1,048","1,934","2,525","2,895","3,198","2,015","1,244",687,953,980,"1,074"
Total Liabilities,"1,292","2,012","3,416","4,052","4,544","4,992","4,060","3,170","2,350","1,874","1,816","1,697"
Fixed Assets +,203,206,210,210,195,175,153,133,95,85,72,64
CWIP,6,0,0,0,0,0,53,53,0,0,0,0
Investments,16,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,"1,067","1,806","3,206","3,842","4,349","4,818","3,854","2,985","2,255","1,789","1,744","1,634"
Total Assets,"1,292","2,012","3,416","4,052","4,544","4,992","4,060","3,170","2,350","1,874","1,816","1,697"
