,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,15,15,133,133,133,136,136
Reserves,260,318,381,449,562,517,675,695,"1,129","1,290"
Borrowings +,7,8,3,3,6,424,549,567,692,805
Other Liabilities +,118,114,118,170,189,247,261,265,357,386
Total Liabilities,399,455,517,636,772,"1,322","1,617","1,659","2,314","2,617"
Fixed Assets +,68,122,135,172,185,593,708,724,848,970
CWIP,2,0,1,4,6,4,13,5,6,13
Investments,78,37,76,83,185,210,348,400,363,539
Other Assets +,251,296,305,377,397,515,548,532,"1,098","1,095"
Total Assets,399,455,517,636,772,"1,322","1,617","1,659","2,314","2,617"
