,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,35,35,35,35,35,35,35,35,35
Reserves,342,412,539,683,841,"1,032","1,266","1,539","1,712"
Borrowings +,451,412,393,348,298,396,289,421,470
Other Liabilities +,231,250,315,385,389,348,458,602,609
Total Liabilities,"1,060","1,109","1,283","1,452","1,563","1,812","2,049","2,597","2,827"
Fixed Assets +,459,436,456,447,519,748,712,760,866
CWIP,7,51,10,25,83,66,124,205,166
Investments,0,0,0,0,0,6,43,0,0
Other Assets +,594,623,817,980,962,992,"1,170","1,630","1,795"
Total Assets,"1,060","1,109","1,283","1,452","1,563","1,812","2,049","2,597","2,827"
