,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Sep 2020
Share Capital +,13,13,13,13,17,18,20,20,41,41,41,41,41
Reserves,99,110,153,176,225,251,344,340,206,-129,-360,-881,-879
Borrowings +,166,224,135,160,318,437,556,649,707,711,648,902,886
Other Liabilities +,85,85,74,63,118,215,241,351,328,351,367,234,246
Total Liabilities,363,432,375,412,678,921,"1,160","1,360","1,282",973,697,297,294
Fixed Assets +,69,78,87,67,144,147,134,153,143,108,78,44,45
CWIP,0,15,0,9,6,39,68,49,46,53,65,2,1
Investments,1,1,1,8,10,10,10,10,0,0,0,0,0
Other Assets +,293,338,286,329,518,725,948,"1,147","1,093",813,554,251,249
Total Assets,363,432,375,412,678,921,"1,160","1,360","1,282",973,697,297,294
