,Mar 2010,Mar 2011,Mar 2012,Mar 2013
Share Capital +,5.15,5.15,5.15,5.15
Reserves,3.00,3.30,4.39,-6.73
Borrowings +,3.74,2.12,3.53,3.75
Other Liabilities +,8.48,41.19,123.84,131.60
Total Liabilities,20.37,51.76,136.91,133.77
Fixed Assets +,0.61,0.11,0.28,0.18
CWIP,0.00,0.00,0.00,0.00
Investments,0.30,0.30,0.30,0.30
Other Assets +,19.46,51.35,136.33,133.29
Total Assets,20.37,51.76,136.91,133.77
