,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,123,125,113,115,122
Expenses +,105,106,93,91,99
Operating Profit,17,20,20,24,23
OPM %,14%,16%,17%,21%,19%
Other Income +,4,2,1,2,3
Interest,1,1,2,2,2
Depreciation,2,2,3,6,6
Profit before tax,18,18,16,18,17
Tax %,31%,26%,26%,18%,
Net Profit,12,13,12,15,14
EPS in Rs,10.28,10.88,9.93,12.20,11.13
