,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2017
Share Capital +,5,20,39,39,39,39,39,39
Reserves,44,81,249,301,306,173,-124,-216
Borrowings +,78,89,100,161,156,123,199,197
Other Liabilities +,34,13,36,111,161,125,67,62
Total Liabilities,161,203,424,612,661,461,180,81
Fixed Assets +,73,115,142,185,230,183,138,48
CWIP,19,0,0,52,33,33,0,0
Investments,3,6,5,5,5,10,4,4
Other Assets +,65,82,277,370,393,235,38,29
Total Assets,161,203,424,612,661,461,180,81
