,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,57,57,57,59,59,59
Reserves,209,237,262,372,410,438
Borrowings +,139,165,134,132,136,124
Other Liabilities +,105,117,113,118,117,173
Total Liabilities,511,577,566,681,722,794
Fixed Assets +,261,363,354,354,411,430
CWIP,92,16,7,55,12,9
Investments,4,4,4,10,11,11
Other Assets +,154,195,202,261,288,344
Total Assets,511,577,566,681,722,794
