,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,214","1,236","2,123","1,916","1,865"
Expenses +,"1,143","1,190","2,040","1,833","1,771"
Operating Profit,71,45,83,83,94
OPM %,6%,4%,4%,4%,5%
Other Income +,3,5,5,5,57
Interest,4,12,16,12,18
Depreciation,20,32,39,36,42
Profit before tax,49,7,33,41,91
Tax %,23%,44%,38%,27%,
Net Profit,37,4,20,30,71
EPS in Rs,3.60,0.41,2.06,2.68,7.04
