,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,200,200,400,400,401,401
Reserves,"1,520","1,768","1,776","2,421","2,897","2,872"
Borrowings +,787,813,773,893,"1,022","1,009"
Other Liabilities +,681,922,"1,214","1,169","1,245","1,098"
Total Liabilities,"3,189","3,704","4,163","4,883","5,564","5,381"
Fixed Assets +,"1,030","1,377","2,020","2,201","2,393","2,545"
CWIP,155,274,234,237,346,229
Investments,158,716,776,702,"1,034",960
Other Assets +,"1,846","1,337","1,133","1,743","1,790","1,647"
Total Assets,"3,189","3,704","4,163","4,883","5,564","5,381"
