,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,274,274,274,274,274,274,275,275,275,289,289,289,289
Reserves,"10,373","12,550","14,955","16,908","18,767","21,671","24,117","26,107","28,088","38,755","43,886","50,147","51,197"
Borrowings +,"5,541","5,891","7,342","7,332","9,829","10,616","8,474","19,480","25,337","23,019","21,719","11,299","12,876"
Other Liabilities +,"5,439","6,181","7,010","7,671","9,183","8,631","9,343","11,280","22,826","17,151","20,282","22,077","21,871"
Total Liabilities,"21,626","24,896","29,582","32,185","38,053","41,193","42,209","57,141","76,525","79,214","86,176","83,811","86,233"
Fixed Assets +,"12,775","13,314","15,050","18,100","23,343","25,309","25,904","39,715","56,645","57,151","55,412","55,488","56,316"
CWIP,760,"1,940","3,601","2,186","2,250","1,469",921,"1,511","1,153",920,"1,687","4,785","5,672"
Investments,"3,514","3,547","4,709","4,862","4,500","5,095","6,691","5,447","2,921","5,929","12,178","6,336","3,617"
Other Assets +,"4,577","6,095","6,222","7,037","7,961","9,319","8,693","10,468","15,806","15,215","16,900","17,203","20,628"
Total Assets,"21,626","24,896","29,582","32,185","38,053","41,193","42,209","57,141","76,525","79,214","86,176","83,811","86,233"
