,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,24,24,24,24,24,24,25,26,26,29,29,29
Reserves,51,92,97,104,110,117,166,167,175,186,196,213,220
Borrowings +,62,65,49,58,54,59,67,60,51,50,28,38,53
Other Liabilities +,6,50,26,38,53,58,81,81,92,81,82,84,77
Total Liabilities,130,231,196,224,241,259,338,332,345,343,336,364,379
Fixed Assets +,42,49,49,47,45,43,110,109,113,114,111,143,141
CWIP,3,2,0,0,0,1,1,4,0,0,0,0,0
Investments,0,26,7,7,0,0,0,0,0,0,0,0,0
Other Assets +,86,154,140,170,196,215,227,219,232,228,225,221,239
Total Assets,130,231,196,224,241,259,338,332,345,343,336,364,379
