,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04,21.04
Reserves,67.27,65.52,72.36,73.69,76.51,77.45,79.33,86.60,100.69,92.68
Borrowings +,22.99,28.57,24.23,10.72,5.98,1.67,0.41,0.19,5.85,13.91
Other Liabilities +,15.41,13.18,26.67,20.09,18.00,21.06,20.57,32.54,27.66,28.87
Total Liabilities,126.71,128.31,144.30,125.54,121.53,121.22,121.35,140.37,155.24,156.50
Fixed Assets +,73.11,4.80,14.64,15.44,10.17,7.78,6.41,7.21,9.32,9.36
CWIP,0.00,0.07,0.00,0.00,0.00,0.12,0.81,1.58,0.00,0.00
Investments,0.00,10.10,12.16,12.72,30.56,48.59,56.58,50.84,74.63,71.17
Other Assets +,53.60,113.34,117.50,97.38,80.80,64.73,57.55,80.74,71.29,75.97
Total Assets,126.71,128.31,144.30,125.54,121.53,121.22,121.35,140.37,155.24,156.50
