,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,23,23,23,23,23,45,45,44,44,44
Reserves,675,692,762,909,"1,208","1,589","1,732","1,991","2,031","1,778","1,718","2,032","2,288"
Borrowings +,224,156,115,38,36,671,473,326,110,210,101,282,97
Other Liabilities +,184,315,324,333,410,409,376,458,633,644,656,692,743
Total Liabilities,"1,098","1,177","1,216","1,302","1,676","2,692","2,603","2,798","2,819","2,678","2,520","3,050","3,173"
Fixed Assets +,485,408,397,396,453,"1,918","1,994","1,802","1,680","1,459","1,132","1,344","1,335"
CWIP,6,77,47,12,29,67,22,30,36,8,6,3,4
Investments,7,80,163,296,501,104,128,314,187,156,255,303,333
Other Assets +,600,612,609,599,693,604,460,652,915,"1,055","1,126","1,400","1,502"
Total Assets,"1,098","1,177","1,216","1,302","1,676","2,692","2,603","2,798","2,819","2,678","2,520","3,050","3,173"
