,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Sales +,237,334,278,212
Expenses +,229,321,260,197
Operating Profit,8,12,19,15
OPM %,3%,4%,7%,7%
Other Income +,3,3,3,3
Interest,1,1,2,1
Depreciation,2,2,3,3
Profit before tax,7,12,17,15
Tax %,30%,34%,30%,35%
Net Profit,5,8,12,10
EPS in Rs,0.89,1.34,2.03,1.62
