,Mar 2015
Sales +,506
Expenses +,531
Operating Profit,-26
OPM %,-5%
Other Income +,3
Interest,30
Depreciation,9
Profit before tax,-61
Tax %,0%
Net Profit,-61
EPS in Rs,-7.54
