,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,56,56,58,59,59
Reserves,336,351,378,600,784,852
Borrowings +,132,167,160,99,13,13
Other Liabilities +,135,178,199,216,232,245
Total Liabilities,607,752,793,972,"1,088","1,170"
Fixed Assets +,327,500,536,549,566,612
CWIP,16,11,11,8,4,20
Investments,67,26,12,60,184,242
Other Assets +,197,214,233,355,334,296
Total Assets,607,752,793,972,"1,088","1,170"
