,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,4,4,4,4
Reserves,168,190,230,253
Borrowings +,33,30,19,18
Other Liabilities +,40,50,54,66
Total Liabilities,246,274,307,341
Fixed Assets +,138,135,169,172
CWIP,2,17,0,3
Investments,0,0,0,0
Other Assets +,106,122,138,166
Total Assets,246,274,307,341
